Id	Year	Population	FracPop
1	2020	60462	60.462
2	2021	60355	60.355
3	2022	60221	60.221
4	2023	60063	60.063
5	2024	59884	59.884
6	2025	59687	59.687
7	2026	59475	59.475
8	2027	59251	59.251
9	2028	59016	59.016
10	2029	58774	58.774
11	2030	58527	58.527
12	2031	58275	58.275
13	2032	58020	58.02
14	2033	57762	57.762
15	2034	57498	57.498
16	2035	57229	57.229
17	2036	56955	56.955
18	2037	56675	56.675
19	2038	56388	56.388
20	2039	56090	56.09
21	2040	55781	55.781
22	2041	55460	55.46
23	2042	55126	55.126
24	2043	54778	54.778
25	2044	54416	54.416
26	2045	54039	54.039
27	2046	53646	53.646
28	2047	53238	53.238
29	2048	52816	52.816
30	2049	52382	52.382
31	2050	51939	51.939
32	2051	51485	51.485
33	2052	51024	51.024
34	2053	50555	50.555
35	2054	50080	50.08
36	2055	49600	49.6
37	2056	49117	49.117
38	2057	48632	48.632
39	2058	48148	48.148
40	2059	47666	47.666
41	2060	47191	47.191
42	2061	46721	46.721
43	2062	46260	46.26
44	2063	45808	45.808
45	2064	45367	45.367
46	2065	44938	44.938
47	2066	44522	44.522
48	2067	44120	44.12
49	2068	43730	43.73
50	2069	43354	43.354
51	2070	42991	42.991
52	2071	42640	42.64
53	2072	42301	42.301
54	2073	41974	41.974
55	2074	41657	41.657
56	2075	41349	41.349
57	2076	41049	41.049
58	2077	40756	40.756
59	2078	40471	40.471
60	2079	40191	40.191
61	2080	39915	39.915
62	2081	39644	39.644
63	2082	39377	39.377
64	2083	39113	39.113
65	2084	38851	38.851
66	2085	38592	38.592
67	2086	38336	38.336
68	2087	38081	38.081
69	2088	37829	37.829
70	2089	37579	37.579
71	2090	37331	37.331
72	2091	37086	37.086
73	2092	36843	36.843
74	2093	36603	36.603
75	2094	36367	36.367
76	2095	36134	36.134
77	2096	35905	35.905
78	2097	35681	35.681
79	2098	35461	35.461
80	2099	35248	35.248
81	2100	35042	35.042
